,Station CRS,Number,Max distance,Mean distance,Median distance
0,ASY,344,82953.30786050668,37497.131453447306,41197.18759818442
0,AHN,379,87213.3896371423,40565.924656099596,42428.97123428754
0,AHS,519,86305.79554120338,44607.10828835361,45567.69058225356
0,AHV,521,75353.290790781,43176.834472658906,45004.121805933595
0,AWM,295,124188.01119673348,52732.691477490145,54057.32697794074
0,ASK,60,88862.78569232454,42667.83386992601,41527.98967976944
0,ALK,78,88479.15519488193,35092.73446728766,31158.27538552158
0,APG,55,111515.55138634253,35741.98962408623,34168.08057237046
0,ASP,68,112495.32301389246,58966.50937771714,59852.054924481796
0,AST,172,105924.54106579834,29651.2732366649,23404.940717720267
0,ATT,22,97274.53934612079,46889.22781365689,49132.22988569025
0,ATN,338,81949.25401124771,33470.19081963534,32356.09532993745
0,ATH,156,84064.44388087034,34371.1989905538,32089.238159247885
0,ATB,117,87134.32919923123,39319.97635922395,39829.1507567008
0,ATL,72,94176.46400773391,48602.40795264333,48294.45245574278
0,AUD,177,105909.4901319046,49673.28880134156,52492.787421613946
0,AVM,14,57562.16995562276,40887.39838384474,45401.28184702773
0,AVF,102,95984.82115418042,45154.27775223233,43884.366537275695
0,AVN,150,99915.78664055045,38873.42365414412,37993.91345195401
0,AXM,62,81296.55870330552,43546.160122094516,39218.505776394544
0,AYL,264,67756.6608976564,35020.05391989729,37519.013113353605
0,AYS,96,80060.56395629498,46694.1786315951,48248.220345827416
0,AVP,93,82553.87914568279,48784.934154394374,51414.743615037114
0,AYR,251,151409.08988564723,59698.3549551265,53077.31813119423
0,BAC,302,105739.44377099778,41105.09112385732,41187.273823354706
0,BNA,418,86016.78952390632,40653.03325076129,43710.48552693049
0,BAG,521,70862.55714409408,38958.9151257708,41188.855835043534
0,BLD,179,94259.7189949132,39679.60376017416,42002.051825770875
0,BAB,553,99306.24506041904,45884.44542252948,45729.74837722588
0,BDK,469,121240.30491548592,55097.38869282037,55831.163215537614
0,BAL,711,78352.29329126238,26613.019136687595,18867.848313997016
0,BIO,264,114971.13115908706,31255.17441550313,25662.874449289582
0,BHC,263,147093.24126213277,42710.697259266795,34480.65878833213
0,BSI,79,154327.94138457236,58783.93143300261,63389.320023171094
0,BAM,332,95237.17026455584,48530.28538089946,47330.78711484343
0,BNV,22,74795.85550015455,34213.38029180399,36226.20184341715
0,BNG,40,93723.58721261153,43428.37212872306,28588.969976050816
0,BAD,640,81598.50709418647,28880.98597384156,25989.647267229007
0,BSS,247,142660.7181392271,51203.15553992074,43626.10686274905
0,BAR,264,87836.85687113354,59743.845573333056,65397.401272512354
0,BGD,134,59339.81851168741,26128.891952601592,21980.919639073276
0,BKG,705,89777.16691898892,26069.85322027275,23586.75740749457
0,BRT,359,87843.99125722829,57425.39179798868,58432.68627199465
0,BMG,472,70770.81984123118,42783.9599879041,45214.21591712058
0,BNS,671,95906.30844735919,26430.827662115225,20871.906956481
0,BIF,62,96639.59643955473,45209.14294060034,44869.028022674276
0,BWS,93,88971.07746340943,38572.50873033867,38011.2922167804
0,BRY,162,105326.35472663051,38271.28689525619,34176.18162475059
0,BYD,162,103628.66881321983,37709.10988638646,34188.812279444304
0,BYI,162,105022.0595874981,38520.5272252336,34621.37094564229
0,BAV,71,85045.66596834903,48824.32967524574,56248.777986726076
0,BSO,519,84797.49057607778,42622.3043377998,40610.39182278349
0,BBL,664,128488.64392622407,39685.89515431028,35494.65232292433
0,BTH,137,89392.07075015099,48322.86644706343,56657.03115193
0,BTL,228,82178.547231014,37824.8411481615,40469.42209866605
0,BAK,667,94796.5063965967,25550.119313361898,20040.427265904287
0,BAT,198,142181.41991132314,59057.88479571784,51206.550716801634
0,BAY,542,91530.65303492596,35503.76199675026,34556.00041960875
0,BCG,152,92253.5219110902,28707.01831961487,25032.923768979243
0,BEC,700,72927.42301768245,28126.033121603785,23904.2720939024
0,BKJ,697,71692.36540943534,28353.116461868398,24191.64008495497
0,BAW,558,75946.53530609544,44717.56231138308,47623.678490851584
0,BCK,293,97977.22043924291,46413.5898423782,49486.62473280983
0,BCH,82,74940.11988247684,40978.9202031747,44162.7180549386
0,BCF,493,82936.10476143668,40541.832474593415,40704.46317051731
0,BCS,120,94772.96452047914,63805.149223287575,70756.74332973536
0,BIT,89,73887.20322220892,45382.785012483706,49823.39187570433
0,BWO,441,78891.75091224683,35111.963774259464,34876.61699477173
0,BDH,219,139992.38700729408,58875.890418094255,56689.82811464006
0,BMT,170,92245.91969295985,44818.268173493634,45177.55022132121
0,BID,258,80634.71724387704,33562.05359004151,33192.39671973086
0,BER,146,89647.35983284729,36593.4443388606,32798.42161893148
0,BSL,16,76336.11006594455,36971.96661334881,39654.08932254024
0,BEL,50,135747.86110285495,61834.210186648124,58451.183264327505
0,BEB,304,104107.3087011666,36995.3674729491,39069.77103848959
0,BCC,92,124188.01119673348,60103.18998491652,58984.79973688137
0,BDM,51,66844.05317603055,34521.97242353807,34730.33723760249
0,BEH,154,81302.1729660407,36163.08330867631,33026.3941828181
0,BDW,81,78904.10585641282,53161.20957117362,56454.2814054232
0,BKS,80,104297.62499692886,34548.63067998209,31317.71745762306
0,BLM,648,79981.50427442585,28257.264711167594,25112.15094331826
0,BGM,702,73098.92467061331,27907.171412875723,23693.03311102232
0,BLP,195,97551.98979518563,51129.72423938578,54781.48745403836
0,BVD,664,86693.71887859005,31043.84801228437,28888.879751094115
0,BEM,41,73769.07278799158,47732.531528055166,53502.121453265754
0,BEF,518,92145.07914153636,47665.37468422783,46983.7869940861
0,BAS,53,103196.83786337641,46201.42438653352,45130.32585832791
0,BFE,53,103050.46860640663,45763.54145210488,44404.39977734464
0,BKM,479,91882.12027375076,45122.762737717094,44108.70205526343
0,BEP,157,82517.457171195,36369.47968901096,34289.74722858131
0,BBW,265,86917.55018406812,38262.41285976558,34832.316709802195
0,BRK,148,119258.70890631007,51468.91777353406,43887.26208033062
0,BES,303,92570.49340907717,39015.25791862991,38443.83955972279
0,BSJ,51,65903.27021476248,34163.47775730498,34723.95257458546
0,BEE,117,84896.89805876302,38785.78435786498,38876.66780988309
0,BYC,41,73127.81139894725,36088.84621648963,32681.03425535979
0,BEV,51,64382.0720387283,34379.6713517983,33909.57274870918
0,BEX,177,141127.15518283503,61752.06730479882,56072.07563484698
0,BXY,658,84092.60031655579,30792.489362623033,28167.066318663718
0,BAJ,161,95902.03334653546,44198.187626187726,42056.08363307851
0,BEA,276,128887.62275719109,48729.34470374621,42922.321790203496
0,BTG,149,96543.6958066139,27876.926774238942,23120.99451451691
0,BHI,158,79842.32928716447,27892.56703031959,21934.147488663475
0,JEQ,177,103174.87533309648,29568.23956602206,23777.775337486895
0,BMO,176,104633.3909418977,29643.16184861032,24684.846818536607
0,BHM,175,104115.98852241666,29809.638155493547,24988.918818770057
0,BSW,176,104161.84342166761,29654.99994706781,24499.904255945083
0,BHK,584,73971.48099098733,28732.18500318959,26288.775171163834
0,BKL,669,70652.44429600437,28597.19149878464,25124.420391324453
0,BIW,281,111389.99104946548,56705.69757974504,60137.331267690955
0,BBK,172,129258.72349671414,39661.95887563142,34364.66208185379
0,BIC,579,82348.61409884201,43958.23513242838,42330.68036306527
0,BIG,397,98458.27796584704,47744.36944936269,49117.88862137057
0,BIN,89,85453.5292951672,35756.123658495235,34622.982612709726
0,BWD,340,83097.82307617932,32432.149186812097,30450.64106057539
0,BIK,701,70857.36510060192,28005.25974841505,23685.775140366422
0,BPT,262,135296.83402430377,36825.66277445566,26400.389410006814
0,BTS,269,109939.53656442254,61316.45946649447,66126.26826004927
0,BTE,209,164385.78678827436,73301.44419116933,77307.61941471184
0,BDL,317,99129.49109624239,42595.93187454726,41878.33135732745
0,BHS,265,88494.39417273842,38302.83641182067,34199.207830681175
0,BUK,74,117476.82720009083,67959.83482934195,71027.44292877226
