,0,1
187,PRY,-0.0010651220708018361
188,CNL,0.013710146838764533
189,CRD,-0.0010651220708018361
190,GVH,-0.0010651220708018361
191,LEH,-0.01682400791910372
192,RGT,-0.0005499768554403725
193,WYL,-0.0010651220708018361
194,BLX,-0.0005487022856711017
195,CSY,-0.022970613061094543
196,HSD,-0.0010651220708018361
197,HNF,-0.0005489143035558278
198,SAD,-0.0010651220708018361
199,SMR,-0.0010651220708018361
200,TIP,-0.0010651220708018361
201,BEH,0.013715413894791719
202,BKT,-0.0010655334736874298
203,LIC,-0.0005412760925411964
204,SEN,-0.0005412760925411964
205,BUL,-0.0010655334736874298
206,PKG,-0.0005198580353669012
207,ALV,-0.0005489143035558278
208,RDC,-0.0005487022856711017
209,DDP,-0.0010651220708018361
210,BHI,-0.016817504630383538
