,Station CRS,Number,Max distance,Mean distance,Median distance,Reachable Population
0,ABY,1049,307701.06272159674,105385.48100891616,92294.31824163554,6336433.0
0,ASC,751,205895.97494851617,113540.5009349776,112645.94297621197,4924472.0
0,AHD,1059,266752.83934758784,58485.68068912528,43257.8045328239,7615427.0
0,AFK,994,268404.0183845987,93722.36076535254,84022.76246351343,7289206.0
0,ASH,1085,237508.65460441646,72001.75292597142,58489.37115757649,7758872.0
0,ASY,1009,315569.7669295967,107775.98522004053,93305.50963159338,6055347.0
0,AHN,1069,304468.57900282583,109302.61337427363,94610.71643413902,6387565.0
0,AHS,1025,263505.6791835804,69177.26312214811,53554.41641684988,7533686.0
0,AHV,1078,237476.3284055908,71855.59853070426,58411.20468711461,7733049.0
0,AWM,1104,178237.46040044443,83460.37112171226,75134.84893842538,8081469.0
0,ASK,745,233883.92811178797,122697.34376915546,112786.26185843736,4446709.0
0,ALK,828,191961.99422021015,107820.94458720634,102790.62440222844,6026244.0
0,APG,1147,221716.7991312341,89315.62915863063,83270.28234010018,8644441.0
0,ASP,717,198061.64696881626,137129.42024996626,142368.47785554078,3425038.0
0,AST,1085,214309.5836051202,111672.61212321595,122320.9287080506,7330732.0
0,ATT,115,216328.2978484322,126355.44939262,131408.63809126095,0.0
0,ATN,1056,305851.2895264625,109795.89984426813,100137.39793403861,6217485.0
0,ATH,997,221722.12564378866,111188.2215580542,119413.44698954704,6958128.0
0,ATB,989,248837.14393152803,108530.84076612651,106020.81999906251,7039731.0
0,ATL,325,226227.58135116947,108646.16089596179,117775.76208489273,2419867.0
0,AUD,1106,200112.0511238641,85886.15311455794,75478.05045177041,8055251.0
0,AVM,383,240260.1325168202,137476.08785894763,147407.07124019763,7173.0
0,AVF,1120,271239.56201114913,145858.56693887626,144653.9789346059,7341335.0
0,AVN,1100,241839.36023732778,147482.42189400486,161115.72663771838,7224155.0
0,AXM,767,245411.69480283535,151240.71640425312,166673.33652999878,5182633.0
0,AYL,973,235180.1023832586,64674.787931311264,54826.69383084312,7108177.0
0,AYS,1312,269861.2298867698,100886.56876491997,85066.55630152192,9564691.0
0,AVP,1309,266570.07528415485,102132.81224041294,86512.45208630053,9559943.0
0,AYR,737,308719.9243651112,160542.2140887917,168152.15015374852,2410017.0
0,BAC,1008,313292.5103238186,106485.93827313535,102488.52435760797,6539728.0
0,BNA,1049,310163.48144164233,105136.70842123618,91969.96870506016,6344571.0
0,BAG,1044,206983.29539602948,64528.72073939017,54015.12390488806,7591159.0
0,BLD,990,306265.8791393517,119514.12162121874,95900.07633030503,5622355.0
0,BAB,1019,237579.9257597325,69140.46286452429,56162.245770624235,7466217.0
0,BDK,1100,173111.0208305641,80911.90674997875,71900.37161718383,7999384.0
0,BAL,1207,258407.89248782632,61204.40474133054,47555.817824951766,8623183.0
0,BIO,706,325043.9787551832,151173.92247806513,150436.22051782196,2167815.0
0,BHC,483,296014.35775988974,99866.32071447748,65770.3133954503,612195.0
0,BSI,411,239120.27302803082,112970.34505990526,113095.91457254325,69706.0
0,BAM,945,329013.3735883695,98850.63895827392,85998.87799955692,5937950.0
0,BNV,312,220200.27338765954,121266.87523809262,124433.4267044176,0.0
0,BNG,775,335184.5599457111,144807.01698191036,138655.89096753157,5247024.0
0,BAD,1053,204994.483908714,55286.06692474409,42153.70053743799,7692496.0
0,BSS,477,291253.5628005261,103933.13049758057,79678.27023020305,589347.0
0,BAR,1009,257026.40932402256,131262.96977224655,118432.57196159591,5428716.0
0,BGD,679,283628.49632045085,131285.12378384682,126476.06334797111,4541274.0
0,BKG,1071,213040.50958679197,44602.68355318555,31228.02742729678,7691837.0
0,BRT,938,297178.9023467177,95828.34280947661,83101.60046593567,6328285.0
0,BMG,1019,236702.50390310618,71290.71253623329,57350.739498283714,7501769.0
0,BNS,1081,240059.4529882129,54856.125873912584,40694.58760081001,7812551.0
0,BIF,746,227432.6170847093,120259.7189243847,108442.42076007028,4446391.0
0,BWS,922,229660.57006808984,108488.68479255823,109836.79278820918,6565265.0
0,BRY,743,321167.0283512926,142456.41996656076,145363.41905720296,4847497.0
0,BYD,743,319865.525025752,141505.35883585663,144032.66851655566,4847497.0
0,BYI,743,321252.57368618855,142263.27082356362,144813.34537949186,4847497.0
0,BAV,708,220082.20969674038,124131.54021345337,130663.52819360115,4938114.0
0,BSO,1026,224968.6451063792,67778.81336343903,55734.33649017453,7496418.0
0,BBL,1042,218262.7241766216,62203.78403844492,47368.069677790336,7598391.0
0,BTH,1259,264748.77924742165,149956.37890754122,150830.48517458266,8206330.0
0,BTL,854,285195.1548063185,100590.37814625356,89644.25412707722,5599709.0
0,BAK,1248,339977.2708432139,80327.41919803167,52633.53802472336,8894396.0
0,BAT,993,256442.10235060856,90238.02432677182,81778.74162237727,7289246.0
0,BAY,1085,182977.48101884013,65979.96145567871,51867.143597850074,7907444.0
0,BCG,743,306161.2876001798,136176.2163102893,137526.7379275754,4847497.0
0,BEC,1163,264877.85151839326,69658.97540011042,48179.330569293794,8352959.0
0,BKJ,1160,264374.9430732799,69826.61644397458,48227.730705476904,8350672.0
0,BAW,1272,301149.0027378474,88430.37644221354,66655.06296447165,8931799.0
0,BCK,1119,306476.0990681003,121296.80584512842,113986.1296095821,7280955.0
0,BCH,973,287245.05920903146,110765.9001458268,103719.16562291654,7110434.0
0,BCF,1124,295229.1262341844,77174.96796043037,58698.95234169619,8317866.0
0,BCS,1374,249361.01846319123,105193.8430790884,86804.18137394074,10127651.0
0,BIT,1210,206541.13571877152,91918.60169979722,84414.67824969778,8819930.0
0,BWO,1070,260142.77782210291,72527.14047201366,58373.04564608566,7921986.0
0,BDH,1187,232332.15793126874,108145.04880099815,100559.76599515336,8499436.0
0,BMT,1237,249785.1877113613,150329.55874463008,161724.0524009957,8061263.0
0,BID,1054,303761.370157563,120069.49398721402,114727.0766004104,6288387.0
0,BER,935,229436.72426619066,115562.97989617143,126363.40371013794,6514133.0
0,BSL,277,209867.6964184817,141946.95203621525,149797.63182373747,0.0
0,BEL,368,271138.0583282251,163089.5481117171,180158.24974832428,0.0
0,BEB,1000,305649.18731120485,108669.30021104754,106665.44426382895,6503436.0
0,BCC,312,252149.73725943084,119961.75742063465,128924.5638378888,2376590.0
0,BDM,1149,220671.04650361362,94969.17607815414,88182.82349892484,8504999.0
0,BEH,1033,231930.46889962518,115031.55154388434,123523.06653562892,7024074.0
0,BDW,1317,244814.7589934071,110935.75757455152,108356.26805127611,9246560.0
0,BKS,973,280437.78006894863,102823.7548045842,94465.53232302997,7139481.0
0,BLM,1056,206405.7819563202,54614.83247464038,40838.678969819775,7701499.0
0,BGM,1164,264539.01682927605,69367.79799174653,47537.56135022307,8353475.0
0,BLP,903,229215.76143232384,99061.00032490537,90206.681376714,6368521.0
0,BVD,1148,256356.72616492823,72515.71927408763,48398.21441249603,8224177.0
0,BEM,394,208497.1007592192,118385.16472180135,118051.73617315484,2664279.0
0,BEF,1025,232699.0900476407,71889.64090713733,60606.835819072425,7486567.0
0,BAS,152,209280.73119616148,93632.52812109304,72865.67950688445,941270.0
0,BFE,152,208891.7940585508,93922.76414375362,72450.05348514245,941270.0
0,BKM,1139,246036.47115214443,75788.01682992732,62210.946946658834,8469987.0
0,BEP,996,217484.39651846292,113525.89803862742,122011.06660053424,6954802.0
0,BBW,785,243011.02841229242,79488.0625327713,78522.33656834275,5203956.0
0,BRK,1036,293642.5701852509,93108.1828955413,81167.04780379581,7588797.0
0,BES,1021,317208.11315286375,118487.92627813196,113765.23972198187,6084729.0
0,BSJ,1149,221777.61118967802,94500.76652108447,87681.39106375453,8504218.0
0,BEE,989,248241.96648632962,108721.4545012045,106263.04608197985,7041614.0
0,BYC,807,309915.53724523075,129064.94246987393,126369.16954253848,5428870.0
0,BEV,499,209343.49577906643,104761.20617793177,106890.94173502261,3400602.0
0,BEX,1011,278403.5130884666,97229.23686706036,87832.33173762241,7438470.0
0,BXY,1147,256714.41452516842,72409.27379971604,48395.30183141495,8226729.0
0,BAJ,734,309464.92519347003,153932.3184699068,160813.80618790438,4866707.0
0,BEA,481,272179.92743771535,87900.74625181752,54932.752871093864,351898.0
0,BTG,978,212935.71447739808,112292.59947686848,123015.08688368268,6608261.0
0,BHI,1018,222855.1640954277,112279.99353949209,121969.22826221562,6930630.0
0,JEQ,1090,215155.27561507758,111740.19138532442,122430.65028823461,7321101.0
0,BMO,1089,216633.81113067278,112183.57896601784,122884.12910887762,7315464.0
0,BHM,1088,216632.05040113523,111885.55444508392,122398.57803912593,7306539.0
0,BSW,1089,216057.1741461042,112049.12279793319,122705.52013917579,7321807.0
0,BHK,1061,199197.6879885909,60374.343638172875,48487.01086343039,7726045.0
0,BKL,1160,269430.34313157824,71653.4942684639,48172.518419203545,8343507.0
0,BIW,1125,167741.1614035148,88623.86399954159,81148.55683251552,8188939.0
0,BBK,1013,229892.7707106076,106997.54942298705,107773.25330968012,6879534.0
0,BIC,1042,220707.6436487871,68839.42953410742,56517.170554184544,7567964.0
0,BIG,1128,227016.20527618728,84843.45120388218,66729.20234184683,8102400.0
0,BIN,865,254273.78246685205,107857.37579857695,104293.8766035667,6086684.0
0,BWD,994,268303.55206370266,94150.91424450226,91085.39498615757,6438121.0
0,BIK,1164,262406.4180331724,69135.45842409259,46889.319647442106,8352046.0
0,BPT,524,311159.568340747,109290.37611859737,75170.93295948907,855388.0
0,BTS,642,311593.0178935337,152829.65923381093,123284.92661156954,1695061.0
0,BTE,1304,346791.89797340997,127764.10189037523,115738.85475500437,9092982.0
0,BDL,1035,318918.21124702174,120292.269325228,114367.69108887351,6135627.0
0,BHS,785,246105.3432983526,79737.69937292802,78407.80275584823,5210287.0
0,BUK,957,222570.50899434093,119844.30721371435,116761.95411605615,6184274.0
0,BCU,1148,235281.40328126232,124136.1447379939,127692.07504271925,8208405.0
